urls,Domain,IP Address in URL,@ Symbol in URL,Length of URL,Depth of URL,"Redirection ""//"" in URL",http/https in Domain name,Using URL Shortening Services,"Prefix or Suffix ""-"" in Domain",DNS Record,Age of Domain,End Period of Domain
http://tune.pk/video/6045699/wahab-riaz-amp-sakib-al-hasan-came-to-blows-in-last-day-test-match-2015,tune.pk,1,0,100,3,0,0,0,0,1,17.0,2025-07-25 00:00:00
http://correios.com.br/Para-governo/concessionarias-de-agua-e-energia/produtos-de-conveniencia/certificado-digital,correios.com.br,1,0,114,4,0,0,0,0,1,26.0,2028-10-30 00:00:00
http://akhbarelyom.com/news/newdetails/411512/1/%D8%A8%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88..%D8%A7%D9%84.html,akhbarelyom.com,1,0,115,5,0,0,0,0,1,22.0,2033-12-31 14:08:18
http://torcache.net/torrent/F7F54501ED08AF0DDE8D0E857326ADE956B00F1E.torrent?title=[kickass.to]horriblesubs.danmachi.06.720p.mkv,torcache.net,1,0,128,2,0,0,0,0,1,13.0,2025-04-29 11:29:16
http://interpark.com/product/MallDisplay.do?_method=Detail&sc.shopNo=0000100000&sc.dispNo=001930&sc.prdNo=3173521406&bm1=mid&bm2=hotsale_prd,interpark.com,1,0,140,2,0,0,0,0,1,28.0,2025-02-12 05:00:00
http://ap.org/Content/AP-In-The-News/2014/AP-names-Klug-to-top-SKorea-editorial-position,ap.org,1,0,88,4,0,0,0,0,1,33.0,2028-07-24 04:00:00
http://cox.com/aboutus/contact-us/residential-local.cox?campcode=escalation_res_landing_phone_091412,cox.com,1,0,100,3,0,0,1,0,1,29.0,2025-02-07 14:42:01
http://olx.ua/uk/list/q-%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80%D0%B0/?search%5Bpaidads_listing%5D=1,olx.ua,1,0,103,4,0,0,0,0,1,,
http://extratorrent.cc/torrent_download/4189545/NFB.Canada.At.War.10of13.Cinderella.on.the.Left.XviD.AC3+.avi.torrent,extratorrent.cc,0,0,117,3,0,0,0,0,0,13.0,2024-12-03 12:08:35
http://tobogo.net/cdsb/board.php?board=humor&bm=view&no=1886&category=&auth=&page=1&search=&keyword=&recom=,tobogo.net,1,0,107,2,0,0,0,0,1,7.0,2025-08-06 18:26:17
http://jalopnik.com/here-s-what-it-s-like-to-drive-a-hummer-in-a-big-crowd-1700998416?utm_source=recirculation&utm_medium=recirculation&utm_campaign=wednesdayPM,jalopnik.com,1,0,160,1,0,0,0,0,1,19.0,2025-09-08 22:37:56
http://yourlust.com/videos/texas-bbw-gal-pounding-her-fat-ass-giant-chubby-tits-ass.html,yourlust.com,1,0,88,2,0,0,1,0,1,20.0,2026-03-15 22:27:20
http://qz.com/393909/american-airlines-planes-are-grounded-because-their-pilots-ipads-have-crashed/,qz.com,1,0,99,3,0,0,0,0,1,25.0,2026-03-25 04:00:00
http://extratorrent.cc/torrent/4190225/25+Best+Kate+Beckinsale+Wallpaper+Set+8.html,extratorrent.cc,0,0,83,3,0,0,0,0,0,13.0,2024-12-03 12:08:35
http://kenh14.vn/musik/dam-vinh-hung-gay-cam-dong-voi-mv-ra-mat-cuoi-nam-2015021004234426.chn,kenh14.vn,1,0,93,2,0,0,0,0,1,,
http://techcrunch.com/2014/06/06/google-music-could-get-touchy-feely-if-it-does-acquire-moody-playlist-app-songza/,techcrunch.com,1,0,114,5,0,0,0,0,1,19.0,2025-06-10 22:56:20
http://kizi.com/videos/shake-it-off-african-hipster-version-ft-alex-boye-changing-lanes,kizi.com,1,0,87,2,0,0,0,0,1,20.0,2025-05-09 18:16:22
http://techcrunch.com/2014/03/05/zillow-hires-former-realtor-com-president-to-run-its-b2b-business/,techcrunch.com,1,0,99,5,0,0,0,0,1,19.0,2025-06-10 22:56:20
http://extratorrent.cc/torrent_download/4191030/The.Originals.S02.720p.HDTV.X264-DIMENSION.torrent,extratorrent.cc,0,0,98,3,0,0,0,0,0,13.0,2024-12-03 12:08:35
http://indianexpress.com/article/lifestyle/fashion/handloom-amendment-act-maker-or-breaker/,indianexpress.com,1,0,91,5,0,0,0,0,1,22.0,2025-05-20 18:06:29
http://thechive.com/2015/04/27/its-monday-we-might-as-well-mind-some-gaps-30-photos/,thechive.com,1,0,84,5,0,0,0,0,1,16.0,2025-02-23 04:59:59
http://torcache.net/torrent/4E0D7FB019BA30EC671BE08255347C0A86E91D1C.torrent?title=[kickass.to]fast.and.furious.7.2015.italian.ld.dual.480p.hqts.x264.ig,torcache.net,1,0,152,2,0,0,0,0,1,13.0,2025-04-29 11:29:16
http://udn.com/news/story/7331/900393-%E8%B3%88%E5%B7%A8%E5%B7%9D%E6%8F%AD%E7%A7%98%EF%BC%9A%E5%B0%8F%E7%BF%92%E8%BF%91%E5%B9%B3%E6%9C%80%E6%80%95%E6%B4%97%E6%BE%A1,udn.com,1,0,164,4,0,0,0,0,1,25.0,2026-09-09 04:00:00
http://telegraf.com.ua/zhizn/zdorove/1887636-proverennyie-sredstva-protiv-borodavok.html,telegraf.com.ua,1,0,88,3,0,0,0,0,1,,
http://torcache.net/torrent/C637A172C655B27C27A03CE681DED7C622E56B6B.torrent?title=[kickass.to]garrys.mod.v14.07.10.full.autoupdate.multilanguage,torcache.net,1,0,145,2,0,0,0,0,1,13.0,2025-04-29 11:29:16
http://torcache.net/torrent/E1FE9BC90472DA16A5DFE07A9C15AEB1FC5C6A91.torrent?title=[kickass.to]just.before.i.go.2014.720p.brrip.x264.yify,torcache.net,1,0,137,2,0,0,0,0,1,13.0,2025-04-29 11:29:16
http://tunein.com/radio/Language-Learning-c100000159/15480783/ca-pub-1542925551861702/TuneInSearch,tunein.com,1,0,98,5,0,0,0,0,1,28.0,2025-05-02 04:00:00
http://mylust.com/videos/231588/short-haired-bitch-mei-gets-suspended-and-face-fucked-in-bdsm-clip/,mylust.com,1,0,99,4,0,0,1,0,1,19.0,2026-11-19 05:50:20
http://olx.in/hi/i2/item/deill-vostro-1310-core-2-duo-2-pieces-mint-condition-in-21500-only-IDWjz0d.html,olx.in,1,0,104,4,0,0,0,0,1,18.0,2025-02-22 11:21:13
http://grantland.com/the-triangle/mlb-2015-al-east-preview-red-sox-blue-jays-orioles-rays-yankees/,grantland.com,1,0,98,3,0,0,0,0,1,27.0,2025-06-11 04:00:00
http://pikabu.ru/tag/%D0%BA%D0%B0%D1%80%D0%B8%D0%BA%D0%B0%D1%82%D1%83%D1%80%D0%B0/hot,pikabu.ru,1,0,85,3,0,0,0,0,1,,
http://olx.pl/i2/muzyka-edukacja/ksiazki/czasopisma/muzyka-edukacja/ksiazki/czasopisma,olx.pl,1,0,86,7,0,0,0,0,1,17.0,2024-11-10 17:56:31
http://kotaku.com/the-nba-player-who-came-out-was-sort-of-a-video-gam-484724214/module/,kotaku.com,1,0,87,3,0,0,0,0,1,22.0,2025-03-05 03:25:18
http://slashdot.org/submission/4427407/japanese-smartphone-gets-iris-scanning-for-mobile-payments?utm_source=rss1.0&utm_medium=feed&sbsrc=firehose,slashdot.org,1,0,146,3,0,0,0,0,1,26.0,2024-10-04 04:00:00
http://askubuntu.com/questions/575179/trying-to-install-ubuntu-12-04-log-to-a-black-screen,askubuntu.com,1,0,90,3,0,0,0,0,1,14.0,2025-02-02 11:59:59
http://nguyentandung.org/tau-ten-lua-trung-quoc-cham-tran-chien-ham-my-o-vung-bien-gan-truong-sa.html,nguyentandung.org,1,0,101,1,0,0,0,0,1,13.0,2024-10-30 05:10:57
http://kienthuc.net.vn/chi-tieu-tuyen-sinh/thong-tin-tuyen-sinh-hoc-vien-phong-khong-khong-quan-nam-2015-467340.html,kienthuc.net.vn,1,0,116,2,0,0,0,0,1,,
http://kotaku.com/ten-games-i-want-to-play-on-the-apple-watch-1699418447/templates/closure/,kotaku.com,1,0,91,4,0,0,0,0,1,22.0,2025-03-05 03:25:18
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E3%83%BB%E5%88%B6%E6%9C%8D%E7%B3%BB%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FC18SM5u5Gxb3vPXB+%E3%82%A2%E3%83%8B%E3%82%B3%E3%82%B9%E3%81%A7%E3%83%8F%E3%83%A1%E6%92%AE%E3%82%8A+%23ero+%23douga+%23agesage,twitter.com,1,0,316,1,0,0,0,0,1,24.0,2025-01-21 16:28:17
https://500px.com/photo/69180987/luces-y-sombras-by-dragox-photo-?from=set&set_id=1329779,500px.com,1,0,89,3,0,0,1,0,1,20.0,2025-07-23 22:24:10
http://olx.in/hi/account/?origin=observepopup&ref%5B0%5D%5Baction%5D=ads&ref%5B0%5D%5Bmethod%5D=index&ref%5B0%5D%5Bparams%5D%5Bq%5D=tv&ref%5B0%5D%5Bcategory%5D=5&ref%5B0%5D%5Bregion%5D=1163&ref%5B0%5D%5Bsubregion%5D=58998&ref%5B0%5D%5Bcity%5D=58998,olx.in,1,0,248,3,0,0,0,0,1,18.0,2025-02-22 11:21:13
http://motthegioi.vn/the-gioi-mang/thoi-su-facebook/lo-xe-bat-tay-tai-xe-dam-o-nu-khach-giang-ho-cam-dao-bat-con-an-com-188364.html,motthegioi.vn,0,0,131,3,0,0,0,0,0,,
